variant,collection_date,subm_date,region,country,province ,lineage,date_2weeks
DENV-3,2015/06/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/06/01
DENV-3,2015/05/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/05/01
DENV-3,2015/06/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/06/01
DENV-3,2015/06/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/06/01
DENV-3,2015/06/01,2020-07-14T00:00:00Z,Africa,Kenya,,DENV-3,2015/06/01
DENV-3 Genotype III,2009/01/01,2016-12-14T00:00:00Z,Africa,Togo,,DENV-3,2009/01/01
DENV-3 Genotype III,2008/01/01,2016-12-14T00:00:00Z,Africa,Cabo Verde,,DENV-3,2008/01/01
DENV-3 Genotype III,2009/01/01,2016-12-14T00:00:00Z,Africa,Cabo Verde,,DENV-3,2009/01/01
DENV-3 Genotype III,2012/01/01,2016-12-14T00:00:00Z,Africa,Reunion,,DENV-3,2012/01/01
DENV-3 Genotype III,2012/01/01,2016-12-14T00:00:00Z,Africa,Reunion,,DENV-3,2012/01/01
DENV-3 Genotype III,2012/01/01,2016-12-14T00:00:00Z,Africa,Reunion,,DENV-3,2012/01/01
DENV-3 Genotype III,2010/01/01,2016-12-14T00:00:00Z,Africa,Comoros,,DENV-3,2010/01/01
DENV-3 Genotype III,2010/01/01,2016-12-14T00:00:00Z,Africa,Madagascar,,DENV-3,2010/01/01
DENV-3 Genotype III,2010/01/01,2016-12-14T00:00:00Z,Africa,Madagascar,,DENV-3,2010/01/01
DENV-3 Genotype III,2011/01/01,2016-12-14T00:00:00Z,Africa,Djibouti,,DENV-3,2011/01/01
DENV-3 Genotype III,2011/01/01,2016-12-14T00:00:00Z,Africa,Djibouti,,DENV-3,2011/01/01
DENV-3 Genotype III,2012/01/01,2016-12-14T00:00:00Z,Africa,Djibouti,,DENV-3,2012/01/01
DENV-3 Genotype III,2012/01/01,2016-12-14T00:00:00Z,Africa,Djibouti,,DENV-3,2012/01/01
DENV-3 Genotype III,2017/10/16,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/10/16
DENV-3 Genotype III,2017/11/09,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/11/09
DENV-3 Genotype III,2017/11/13,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/11/13
DENV-3 Genotype III,2017/11/17,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/11/17
DENV-3 Genotype III,2017/10/04,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/10/04
DENV-3 Genotype III,2017/10/12,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/10/12
DENV-3 Genotype III,2017/10/27,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/10/27
DENV-3 Genotype III,2017/11/02,2020-04-05T00:00:00Z,Africa,Burkina Faso,,DENV-3,2017/11/02
DENV-3 Genotype III,1985/01/01,2009-05-05T00:00:00Z,Africa,Mozambique,,DENV-3,1985/01/01
DENV-3 Genotype III,2007/01/01,2016-07-24T00:00:00Z,Africa,Senegal,,DENV-3,2007/01/01
DENV-3 Genotype III,2006/01/01,2016-07-24T00:00:00Z,Africa,Cameroon,,DENV-3,2006/01/01
DENV-3 Genotype III,,2016-07-26T00:00:00Z,Africa,Mozambique,,DENV-3,
DENV-3 Genotype III,2010/02/01,2017-03-30T00:00:00Z,Africa,Tanzania,,DENV-3,2010/02/01
DENV-3 Genotype III,2011/01/01,2021-11-18T00:00:00Z,Africa,Kenya,,DENV-3,2011/01/01
DENV-3 Genotype III,2020/09/14,2021-10-04T00:00:00Z,Africa,Cameroon,,DENV-3,2020/09/14
DENV-3 Genotype III,2020/09/11,2021-10-04T00:00:00Z,Africa,Cameroon,,DENV-3,2020/09/11
DENV-3 Genotype III,2020/07/27,2021-10-04T00:00:00Z,Africa,Cameroon,,DENV-3,2020/07/27
DENV-3 Genotype III,2020/07/27,2021-10-04T00:00:00Z,Africa,Cameroon,,DENV-3,2020/07/27
DENV-3 Genotype III,2020/08/26,2021-10-04T00:00:00Z,Africa,Cameroon,,DENV-3,2020/08/26
DENV-3 Genotype III,1993/01/01,2022-01-04T00:00:00Z,Africa,Somalia,,DENV-3,1993/01/01
DENV-3 Genotype III,2020/01/01,2021-11-01T00:00:00Z,Africa,Tanzania,,DENV-3,2020/01/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype V,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2019/03/01,2021-08-31T00:00:00Z,Africa,Kenya,,DENV-3,2019/03/01
DENV-3 Genotype III,2021/07/07,2022-06-30T00:00:00Z,Africa,Benin,,DENV-3,2021/07/07
DENV-3 Genotype III,2019/11/09,2022-07-05T00:00:00Z,Africa,Ethiopia,,DENV-3,2019/11/09
DENV-3 Genotype III,2019/11/09,2022-07-07T00:00:00Z,Africa,Ethiopia,,DENV-3,2019/11/09
DENV-3 Genotype III,2021/07/07,2022-11-18T00:00:00Z,Africa,Benin,,DENV-3,2021/07/07
DENV-3 Genotype III,2018/06/26,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/06/26
DENV-3 Genotype III,2017/10/03,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/10/03
DENV-3 Genotype III,2018/06/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/06/13
DENV-3 Genotype III,2017/10/19,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/10/19
DENV-3 Genotype III,2017/11/24,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/11/24
DENV-3 Genotype III,2017/09/09,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/09/09
DENV-3 Genotype III,2017/10/03,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/10/03
DENV-3 Genotype III,2017/08/18,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/08/18
DENV-3 Genotype III,2017/08/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/08/25
DENV-3 Genotype III,2018/06/01,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/06/01
DENV-3 Genotype III,2017/08/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2017/08/25
DENV-3 Genotype III,2018/05/18,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/05/18
DENV-3 Genotype III,2018/05/11,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/05/11
DENV-3 Genotype III,2018/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/04/27
DENV-3 Genotype III,2018/04/09,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/04/09
DENV-3 Genotype III,2018/04/11,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/04/11
DENV-3 Genotype III,2018/03/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/03/28
DENV-3 Genotype III,2018/04/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/04/05
DENV-3 Genotype III,2018/02/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/28
DENV-3 Genotype III,2018/03/03,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/03/03
DENV-3 Genotype III,2018/03/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/03/28
DENV-3 Genotype III,2018/02/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/27
DENV-3 Genotype III,2018/02/24,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/24
DENV-3 Genotype III,2018/02/19,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/19
DENV-3 Genotype III,2018/02/26,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/26
DENV-3 Genotype III,2018/02/09,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/09
DENV-3 Genotype III,2018/02/01,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/02/01
DENV-3 Genotype III,2018/01/23,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/01/23
DENV-3 Genotype III,2018/01/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/01/20
DENV-3 Genotype III,2018/01/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/01/15
DENV-3 Genotype III,2018/01/26,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/01/26
DENV-3 Genotype III,2018/01/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-3,2018/01/25
DENV-3 Genotype III,2022/08/18,2023-05-12T00:00:00Z,Africa,Niger,,DENV-3,2022/08/18
DENV-3 Genotype III,2011/07/01,2017-09-30T00:00:00Z,Africa,Kenya,,DENV-3,2011/07/01
DENV-3 Genotype III,2011/09/01,2017-09-30T00:00:00Z,Africa,Kenya,,DENV-3,2011/09/01
DENV-3 Genotype III,2013/07/01,2017-09-30T00:00:00Z,Africa,Kenya,,DENV-3,2013/07/01
DENV-3 Genotype III,2014/01/01,2017-09-30T00:00:00Z,Africa,Kenya,,DENV-3,2014/01/01
DENV-3 Genotype III,2013/04/01,2017-09-30T00:00:00Z,Africa,Kenya,,DENV-3,2013/04/01
