variant,collection_date,subm_date,region,country,province ,lineages,date_2weeks
DENV-1,2019/05/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/06
DENV-1,2019/05/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/06
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/11/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/11/04
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/11/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/11/04
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/04/30,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/30
DENV-1,2019/01/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/01/05
DENV-1,2019/04/21,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/21
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/13
DENV-1,2019/06/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/28
DENV-1,2019/09/07,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/09/07
DENV-1,2019/06/24,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/24
